period_of_day,hour,avg_passenger_count,total_trips
morning_peak,6,34.44,61648
morning_peak,7,34.65,61835
morning_peak,8,34.55,61512
midday,9,19.48,41278
midday,10,19.37,40831
midday,11,19.57,41158
midday,12,19.6,41045
midday,13,19.43,41261
midday,14,19.43,40769
midday,15,19.57,41035
midday,16,19.66,41225
offpeak,0,19.41,16445
offpeak,1,19.44,16452
offpeak,2,19.55,16477
offpeak,3,19.53,16697
offpeak,4,19.17,16272
offpeak,5,19.5,16512
offpeak,20,19.51,16520
offpeak,21,19.49,16181
offpeak,22,19.59,16255
offpeak,23,19.49,16306
,17,34.48,61563
,18,34.33,61663
,19,34.75,61633
