line_id,date,total_revenue_egp,total_trips,total_passengers
Line1,2024-01-01,84642,274,7162
Line1,2024-01-02,279633,900,22883
Line1,2024-01-03,294004,933,24171
Line1,2024-01-04,295114,938,23551
Line1,2024-01-05,184918,596,14998
Line1,2024-01-06,175741,563,14188
Line1,2024-01-07,82797,265,6823
Line1,2024-01-08,287773,954,23390
Line1,2024-01-09,299799,926,24273
Line1,2024-01-10,313895,903,25676
Line1,2024-01-11,273697,893,21909
Line1,2024-01-12,166637,546,13303
Line1,2024-01-13,185911,573,15130
Line1,2024-01-14,166766,558,13690
Line1,2024-01-15,198851,671,16123
Line1,2024-01-16,223466,718,18408
Line1,2024-01-17,226555,684,18084
Line1,2024-01-18,217636,666,17242
Line1,2024-01-19,202869,639,16951
Line1,2024-01-20,201264,668,16746
Line1,2024-01-21,197291,639,16275
Line1,2024-01-22,211029,651,17361
Line1,2024-01-23,224197,688,18051
Line1,2024-01-24,211286,634,17333
Line1,2024-01-25,105657,283,8590
Line1,2024-01-26,207625,664,16553
Line1,2024-01-27,196978,684,16057
Line1,2024-01-28,220456,640,18038
Line1,2024-01-29,224079,694,18393
Line1,2024-01-30,208052,653,16882
Line1,2024-01-31,203379,638,16472
Line1,2024-02-01,205728,664,16878
Line1,2024-02-02,220092,712,18081
Line1,2024-02-03,205187,651,16837
Line1,2024-02-04,204919,610,16605
Line1,2024-02-05,182093,619,15106
Line1,2024-02-06,207340,623,16465
Line1,2024-02-07,196533,642,16565
Line1,2024-02-08,210227,691,17532
Line1,2024-02-09,201381,637,16512
Line1,2024-02-10,219097,695,18478
Line1,2024-02-11,162480,536,13436
Line1,2024-02-12,283908,902,23030
Line1,2024-02-13,302695,893,24474
Line1,2024-02-14,288562,914,23398
Line1,2024-02-15,295714,934,24255
Line1,2024-02-16,152769,524,12430
Line1,2024-02-17,177318,557,14184
Line1,2024-02-18,188796,586,14966
Line1,2024-02-19,312150,980,25376
Line1,2024-02-20,266953,901,22220
Line1,2024-02-21,284062,913,23712
Line1,2024-02-22,294063,951,24488
Line1,2024-02-23,184151,540,14443
Line1,2024-02-24,188966,541,15279
Line1,2024-02-25,216694,606,16912
Line1,2024-02-26,281973,933,23061
Line1,2024-02-27,282394,899,23011
Line1,2024-02-28,302043,921,24303
Line1,2024-02-29,283570,891,23331
Line1,2024-03-01,166447,538,13890
Line1,2024-03-02,176527,566,14511
Line1,2024-03-03,184121,593,14887
Line1,2024-03-04,295150,940,24254
Line1,2024-03-05,286303,970,23763
Line1,2024-03-06,285142,902,23393
Line1,2024-03-07,319965,958,25884
Line1,2024-03-08,179965,557,14396
Line1,2024-03-09,200868,581,16360
Line1,2024-03-10,196209,605,15869
Line1,2024-03-11,291909,959,24037
Line1,2024-03-12,278384,902,23205
Line1,2024-03-13,308462,938,24782
Line1,2024-03-14,288105,927,22974
Line1,2024-03-15,168505,564,14242
Line1,2024-03-16,181169,565,14970
Line1,2024-03-17,187159,589,15367
Line1,2024-03-18,301016,974,24736
Line1,2024-03-19,295815,949,24248
Line1,2024-03-20,270321,887,22321
Line1,2024-03-21,293883,916,23789
Line1,2024-03-22,184259,585,15099
Line1,2024-03-23,182881,552,15018
Line1,2024-03-24,170873,543,14056
Line1,2024-03-25,307275,949,25253
Line1,2024-03-26,307219,928,25186
Line1,2024-03-27,278400,883,22604
Line1,2024-03-28,296320,889,24349
Line1,2024-03-29,181621,542,14672
Line1,2024-03-30,178523,572,14575
Line1,2024-03-31,173494,548,14609
Line1,2024-04-01,264234,893,21698
Line1,2024-04-02,274345,885,22358
Line1,2024-04-03,304887,970,25305
Line1,2024-04-04,300498,961,24620
Line1,2024-04-05,174072,554,14165
Line1,2024-04-06,172902,568,13848
Line1,2024-04-07,192012,581,15852
Line1,2024-04-08,292787,938,23446
Line1,2024-04-09,88688,293,7368
Line1,2024-04-10,95044,276,7748
Line1,2024-04-11,95637,291,7548
Line1,2024-04-12,178201,564,14550
Line1,2024-04-13,190437,591,15313
Line1,2024-04-14,180533,533,14740
Line1,2024-04-15,305852,964,24712
Line1,2024-04-16,275771,916,22609
Line1,2024-04-17,309260,936,24689
Line1,2024-04-18,311064,970,25135
Line1,2024-04-19,173059,548,14336
Line1,2024-04-20,168926,545,13613
Line1,2024-04-21,172430,565,14474
Line1,2024-04-22,280150,920,22595
Line1,2024-04-23,313099,982,25561
Line1,2024-04-24,296415,948,23904
Line1,2024-04-25,83811,255,6858
Line1,2024-04-26,182635,562,15067
Line1,2024-04-27,178502,563,14632
Line1,2024-04-28,161732,535,12829
Line1,2024-04-29,329550,923,25843
Line1,2024-04-30,295878,910,24002
Line1,2024-05-01,81312,272,6733
Line1,2024-05-02,290498,936,23824
Line1,2024-05-03,177634,575,14462
Line1,2024-05-04,167773,551,14050
Line1,2024-05-05,94683,276,7704
Line1,2024-05-06,94118,276,7408
Line1,2024-05-07,327093,957,26398
Line1,2024-05-08,287164,911,23949
Line1,2024-05-09,309717,985,25247
Line1,2024-05-10,184224,535,14392
Line1,2024-05-11,178038,540,14180
Line1,2024-05-12,195675,576,15413
Line1,2024-05-13,304275,976,25224
Line1,2024-05-14,291169,921,23478
Line1,2024-05-15,284750,955,23623
Line1,2024-05-16,291958,949,24144
Line1,2024-05-17,168322,585,13785
Line1,2024-05-18,178923,542,14527
Line1,2024-05-19,161526,517,13414
Line1,2024-05-20,311422,934,25650
Line1,2024-05-21,292488,944,24401
Line1,2024-05-22,315997,966,25429
Line1,2024-05-23,272325,885,22302
Line1,2024-05-24,171120,567,14065
Line1,2024-05-25,191342,550,15815
Line1,2024-05-26,178612,585,14373
Line1,2024-05-27,286426,922,23404
Line1,2024-05-28,291441,906,23381
Line1,2024-05-29,297637,929,23893
Line1,2024-05-30,293909,931,23765
Line1,2024-05-31,178339,555,14821
Line1,2024-06-01,220030,653,17759
Line1,2024-06-02,222676,687,18265
Line1,2024-06-03,209847,630,16656
Line1,2024-06-04,180823,637,15032
Line1,2024-06-05,206616,695,17168
Line1,2024-06-06,195203,595,15716
Line1,2024-06-07,222573,660,17850
Line1,2024-06-08,185900,663,15140
Line1,2024-06-09,218201,678,17784
Line1,2024-06-10,196194,646,16054
Line1,2024-06-11,180757,615,14832
Line1,2024-06-12,202999,671,16921
Line1,2024-06-13,205694,658,16952
Line1,2024-06-14,208214,643,17449
Line1,2024-06-15,87727,287,7235
Line1,2024-06-16,77084,262,6220
Line1,2024-06-17,99590,297,8080
Line1,2024-06-18,92104,271,7799
Line1,2024-06-19,93505,258,7264
Line1,2024-06-20,236163,667,19203
Line1,2024-06-21,213127,641,17440
Line1,2024-06-22,212872,711,17159
Line1,2024-06-23,206805,641,16921
Line1,2024-06-24,185446,628,15721
Line1,2024-06-25,211455,671,16805
Line1,2024-06-26,214178,642,17528
Line1,2024-06-27,205842,659,16654
Line1,2024-06-28,206377,660,17063
Line1,2024-06-29,206111,646,16691
Line1,2024-06-30,180504,606,14616
Line1,2024-07-01,198521,632,16192
Line1,2024-07-02,225633,681,18101
Line1,2024-07-03,197410,633,16267
Line1,2024-07-04,197721,633,16676
Line1,2024-07-05,199427,653,16280
Line1,2024-07-06,206819,622,16992
Line1,2024-07-07,74975,265,6088
Line1,2024-07-08,209303,623,17008
Line1,2024-07-09,209591,647,16971
Line1,2024-07-10,204118,646,16408
Line1,2024-07-11,200627,675,16631
Line1,2024-07-12,203162,652,16442
Line1,2024-07-13,190449,615,15671
Line1,2024-07-14,196753,625,16169
Line1,2024-07-15,212063,664,17115
Line1,2024-07-16,207363,624,16844
Line1,2024-07-17,223943,695,18322
Line1,2024-07-18,220920,669,18043
Line1,2024-07-19,184951,647,15474
Line1,2024-07-20,212012,664,17327
Line1,2024-07-21,244928,729,19806
Line1,2024-07-22,206599,672,16887
Line1,2024-07-23,89236,278,7303
Line1,2024-07-24,205253,651,16582
Line1,2024-07-25,221375,682,18257
Line1,2024-07-26,216195,669,17857
Line1,2024-07-27,214752,651,17426
Line1,2024-07-28,181692,622,15137
Line1,2024-07-29,212973,634,17741
Line1,2024-07-30,225861,669,18538
Line1,2024-07-31,208973,641,16952
Line1,2024-08-01,213929,669,17336
Line1,2024-08-02,221415,654,17941
Line1,2024-08-03,209046,643,16874
Line1,2024-08-04,201622,628,16297
Line1,2024-08-05,219349,693,17783
Line1,2024-08-06,189144,694,15478
Line1,2024-08-07,212246,674,17367
Line1,2024-08-08,204887,639,16629
Line1,2024-08-09,230568,711,18711
Line1,2024-08-10,186318,607,15422
Line1,2024-08-11,191128,614,15532
Line1,2024-08-12,190719,632,15691
Line1,2024-08-13,202339,609,16426
Line1,2024-08-14,223302,722,18190
Line1,2024-08-15,218255,674,17938
Line1,2024-08-16,180433,627,14758
Line1,2024-08-17,200620,619,16404
Line1,2024-08-18,200425,662,16079
Line1,2024-08-19,190357,652,16268
Line1,2024-08-20,218472,665,17940
Line1,2024-08-21,201779,660,16287
Line1,2024-08-22,217664,624,17137
Line1,2024-08-23,214192,679,17582
Line1,2024-08-24,200488,633,16282
Line1,2024-08-25,205487,664,16970
Line1,2024-08-26,213786,660,17439
Line1,2024-08-27,207245,682,16761
Line1,2024-08-28,202340,643,16929
Line1,2024-08-29,176505,602,14439
Line1,2024-08-30,179105,623,14614
Line1,2024-08-31,215776,712,17586
Line1,2024-09-01,202781,664,16606
Line1,2024-09-02,195990,603,15526
Line1,2024-09-03,217639,610,17688
Line1,2024-09-04,201896,636,16708
Line1,2024-09-05,178999,595,14760
Line1,2024-09-06,199313,631,16025
Line1,2024-09-07,204941,616,16584
Line1,2024-09-08,213193,673,17383
Line1,2024-09-09,223135,676,18399
Line1,2024-09-10,198922,658,16547
Line1,2024-09-11,223458,621,17785
Line1,2024-09-12,218895,659,17520
Line1,2024-09-13,211628,605,17415
Line1,2024-09-14,204275,665,16811
Line1,2024-09-15,85786,276,7050
Line1,2024-09-16,297490,914,24463
Line1,2024-09-17,283848,945,23537
Line1,2024-09-18,327665,969,26236
Line1,2024-09-19,323566,970,25963
Line1,2024-09-20,152318,549,12523
Line1,2024-09-21,179936,557,14800
Line1,2024-09-22,173633,560,14028
Line1,2024-09-23,308710,928,24831
Line1,2024-09-24,306329,969,24809
Line1,2024-09-25,307642,943,25550
Line1,2024-09-26,302622,952,24970
Line1,2024-09-27,175446,553,14392
Line1,2024-09-28,176066,573,14544
Line1,2024-09-29,166471,539,13209
Line1,2024-09-30,270915,874,22427
Line1,2024-10-01,291653,945,24274
Line1,2024-10-02,303961,929,24653
Line1,2024-10-03,307528,898,24929
Line1,2024-10-04,168725,543,13567
Line1,2024-10-05,182089,568,14618
Line1,2024-10-06,171268,565,14297
Line1,2024-10-07,304556,942,25079
Line1,2024-10-08,277911,902,23437
Line1,2024-10-09,294729,938,24217
Line1,2024-10-10,295618,959,24058
Line1,2024-10-11,165624,527,13664
Line1,2024-10-12,164515,533,13688
Line1,2024-10-13,179306,573,14529
Line1,2024-10-14,304893,984,25155
Line1,2024-10-15,317916,962,25967
Line1,2024-10-16,294925,942,23760
Line1,2024-10-17,284445,882,23157
Line1,2024-10-18,180011,553,14531
Line1,2024-10-19,192986,575,15385
Line1,2024-10-20,179007,514,14759
Line1,2024-10-21,312715,940,25766
Line1,2024-10-22,299630,964,24316
Line1,2024-10-23,276542,905,22479
Line1,2024-10-24,304671,920,24716
Line1,2024-10-25,192877,588,15499
Line1,2024-10-26,167144,558,13682
Line1,2024-10-27,169881,511,13968
Line1,2024-10-28,289285,939,23595
Line1,2024-10-29,305595,960,24950
Line1,2024-10-30,294485,918,24050
Line1,2024-10-31,273859,883,22530
Line1,2024-11-01,203277,613,16344
Line1,2024-11-02,172275,548,13791
Line1,2024-11-03,166380,555,13428
Line1,2024-11-04,303818,979,25083
Line1,2024-11-05,300346,954,24555
Line1,2024-11-06,298304,994,24302
Line1,2024-11-07,320889,949,26134
Line1,2024-11-08,184279,580,15140
Line1,2024-11-09,152325,509,12658
Line1,2024-11-10,186501,576,14810
Line1,2024-11-11,302781,1005,24771
Line1,2024-11-12,298312,915,24178
Line1,2024-11-13,288345,868,23125
Line1,2024-11-14,275548,883,22892
Line1,2024-11-15,171507,566,13821
Line1,2024-11-16,175976,546,14800
Line1,2024-11-17,157308,535,12872
Line1,2024-11-18,270384,923,22088
Line1,2024-11-19,298336,961,24655
Line1,2024-11-20,320465,969,26047
Line1,2024-11-21,282448,925,22928
Line1,2024-11-22,165555,551,13538
Line1,2024-11-23,178692,555,14517
Line1,2024-11-24,185707,548,15270
Line1,2024-11-25,298633,948,25129
Line1,2024-11-26,312680,942,25626
Line1,2024-11-27,295879,951,23972
Line1,2024-11-28,280514,895,22920
Line1,2024-11-29,157472,544,13167
Line1,2024-11-30,174482,598,14335
Line1,2024-12-01,185751,547,15528
Line1,2024-12-02,296234,954,24417
Line1,2024-12-03,310955,963,25842
Line1,2024-12-04,304152,964,24908
Line1,2024-12-05,299175,959,24189
Line1,2024-12-06,184992,573,14835
Line1,2024-12-07,196455,582,15784
Line1,2024-12-08,178326,530,14582
Line1,2024-12-09,285102,954,23289
Line1,2024-12-10,327611,984,26087
Line1,2024-12-11,288102,901,24158
Line1,2024-12-12,278745,920,23106
Line1,2024-12-13,160734,539,13267
Line1,2024-12-14,176388,573,14214
Line1,2024-12-15,168184,546,13575
Line1,2024-12-16,302158,893,24559
Line1,2024-12-17,287134,954,23965
Line1,2024-12-18,311723,947,25469
Line1,2024-12-19,292104,940,23475
Line1,2024-12-20,181193,579,14999
Line1,2024-12-21,169121,549,14301
Line1,2024-12-22,183975,544,14920
Line1,2024-12-23,321462,948,25759
Line1,2024-12-24,276051,918,22665
Line1,2024-12-25,309177,966,24893
Line1,2024-12-26,279962,953,22797
Line1,2024-12-27,184865,615,15072
Line1,2024-12-28,182879,564,14878
Line1,2024-12-29,171443,541,14473
Line1,2024-12-30,278884,925,22899
Line1,2024-12-31,281158,933,23657
Line2,2024-01-01,86679,263,7362
Line2,2024-01-02,259621,792,21228
Line2,2024-01-03,274971,825,22655
Line2,2024-01-04,251192,807,20577
Line2,2024-01-05,177794,526,14343
