year,month,total_trips,total_passengers,total_revenue_egp,avg_ticket_price,avg_passengers_per_trip,total_service_events,total_delay_minutes
2024,1,68955,1793788,22190476,12.38,26.01,67,3711
2024,2,72226,1874851,23177882,12.37,25.96,65,5412
2024,3,77743,2018275,24949787,12.35,25.96,76,5120
2024,4,69561,1809523,22414174,12.37,26.01,61,4019
2024,5,74879,1960043,24274978,12.38,26.18,59,4251
2024,6,59029,1527033,18909731,12.38,25.87,66,4627
2024,7,64613,1682743,20827923,12.38,26.04,61,3793
2024,8,67777,1749123,21649238,12.37,25.81,77,5404
2024,9,70562,1829675,22674288,12.39,25.93,70,3006
2024,10,80963,2103566,25985158,12.36,25.98,58,3668
2024,11,76002,1953486,24168063,12.37,25.7,72,5276
2024,12,80263,2076746,25671784,12.36,25.87,68,3904
