origin_station_id,destination_station_id,total_trips,total_passengers,total_revenue_egp,origin_station_name,origin_line_id,destination_station_name,destination_line_id
77,2,385,9369,125174,Sadat,Transfer_Line1/Line2,Ain Helwan,Line1
72,47,381,10174,132450,Imbaba,Line3,Mezallat,Line2
41,62,380,10089,132198,Opera,Line2,Stadium,Line3
70,34,379,9967,134248,Kit Kat,Line3,Sakiat Mekky,Line2
3,36,377,9723,125129,Helwan University,Line1,Giza,Line2
50,48,377,9723,126999,Adly Mansour,Line3,Koliet El Zeraa,Line2
77,52,377,10435,139332,Sadat,Transfer_Line1/Line2,Omar Ibn El Khattab,Line3
58,21,375,8465,110743,Heliopolis Square,Line3,El Demerdash,Line1
80,13,375,10124,133449,Nasser,Transfer_Line1/Line3,Dar El Salam,Line1
18,35,374,9806,128875,Saad Zaghloul,Line1,Omm El Masryeen,Line2
40,1,373,9067,118539,Dokki,Line2,Helwan,Line1
40,51,373,9673,123336,Dokki,Line2,El Haykestep,Line3
64,58,373,9317,74536,Abbassia,Line3,Heliopolis Square,Line3
80,21,373,10340,137854,Nasser,Transfer_Line1/Line3,El Demerdash,Line1
3,4,372,8857,70856,Helwan University,Line1,Wadi Hof,Line1
40,55,372,9642,130766,Dokki,Line2,El Nozha,Line3
37,18,371,9999,128560,Faisal,Line2,Saad Zaghloul,Line1
49,76,371,10586,138903,Shubra El Kheima,Line2,Rod El Farag Corridor,Line3
50,23,371,10369,140060,Adly Mansour,Line3,Kobri El Qobba,Line1
64,6,371,9724,127409,Abbassia,Line3,El Maasara,Line1
79,65,370,9424,124323,Attaba,Transfer_Line2/Line3,Abdou Pasha,Line3
11,68,369,10046,134590,El Maadi,Line1,Maspero,Line3
37,46,369,9076,72608,Faisal,Line2,Khalafawy,Line2
40,7,369,9307,122377,Dokki,Line2,Tura El Asmant,Line1
55,77,369,9502,127906,El Nozha,Line3,Sadat,Transfer_Line1/Line2
67,32,369,9509,123787,Bab El Shaaria,Line3,New El Marg,Line1
78,27,369,10328,142034,Al Shohadaa,Transfer_Line1/Line2,Helmeyet El Zaitoun,Line1
21,63,368,9959,134891,El Demerdash,Line1,Fair Zone,Line3
33,46,368,9546,114552,El Mounib,Line2,Khalafawy,Line2
33,63,368,9967,134639,El Mounib,Line2,Fair Zone,Line3
38,20,368,9478,125697,Cairo University,Line2,Ghamra,Line1
64,77,368,9789,127926,Abbassia,Line3,Sadat,Transfer_Line1/Line2
70,33,368,9907,132699,Kit Kat,Line3,El Mounib,Line2
70,76,368,10197,81576,Kit Kat,Line3,Rod El Farag Corridor,Line3
72,68,368,9492,75936,Imbaba,Line3,Maspero,Line3
33,70,367,10286,140608,El Mounib,Line2,Kit Kat,Line3
40,21,367,9538,128912,Dokki,Line2,El Demerdash,Line1
62,73,367,9469,113628,Stadium,Line3,El Bohy,Line3
3,68,366,8813,116027,Helwan University,Line1,Maspero,Line3
20,2,366,9493,142395,Ghamra,Line1,Ain Helwan,Line1
40,63,366,9444,122010,Dokki,Line2,Fair Zone,Line3
77,38,366,9918,131149,Sadat,Transfer_Line1/Line2,Cairo University,Line2
11,25,365,9336,112032,El Maadi,Line1,Saray El Qobba,Line1
21,42,365,8871,114581,El Demerdash,Line1,Mohamed Naguib,Line2
36,80,365,9660,125855,Giza,Line2,Nasser,Transfer_Line1/Line3
44,33,365,9403,112836,Road El Farag,Line2,El Mounib,Line2
49,80,365,8946,117288,Shubra El Kheima,Line2,Nasser,Transfer_Line1/Line3
50,68,365,8893,133395,Adly Mansour,Line3,Maspero,Line3
55,35,365,8748,116052,El Nozha,Line3,Omm El Masryeen,Line2
58,2,365,9010,117186,Heliopolis Square,Line3,Ain Helwan,Line1
64,69,365,11279,90232,Abbassia,Line3,Safaa Hegazy,Line3
72,67,365,9647,77176,Imbaba,Line3,Bab El Shaaria,Line3
79,70,365,10074,135889,Attaba,Transfer_Line2/Line3,Kit Kat,Line3
80,77,365,9896,132718,Nasser,Transfer_Line1/Line3,Sadat,Transfer_Line1/Line2
11,9,364,9491,75928,El Maadi,Line1,Tura El Balad,Line1
11,62,364,10082,133999,El Maadi,Line1,Stadium,Line3
21,23,364,9349,74792,El Demerdash,Line1,Kobri El Qobba,Line1
37,56,364,8724,113562,Faisal,Line2,Nadi El Shams,Line3
49,16,364,10086,132714,Shubra El Kheima,Line2,El Malek El Saleh,Line1
