origin_station_id,origin_station_name,origin_line_id,destination_station_id,destination_station_name,destination_line_id,year,month,total_trips,total_passengers,total_revenue_egp,avg_stations_traveled,avg_ticket_price_egp
64,Abbassia,Line3,58,Heliopolis Square,Line3,2024,1,46,1159,9272,6.0,8.0
11,El Maadi,Line1,64,Abbassia,Line3,2024,1,44,1132,14814,16.0,13.05
41,Opera,Line2,35,Omm El Masryeen,Line2,2024,1,43,925,7400,6.0,8.0
64,Abbassia,Line3,33,El Mounib,Line2,2024,1,43,1254,15687,14.7,12.53
72,Imbaba,Line3,11,El Maadi,Line1,2024,1,43,1270,17736,16.3,13.49
21,El Demerdash,Line1,32,New El Marg,Line1,2024,1,42,1151,13812,11.0,12.0
21,El Demerdash,Line1,42,Mohamed Naguib,Line2,2024,1,42,1234,16913,16.2,13.33
29,Ain Shams,Line1,18,Saad Zaghloul,Line1,2024,1,42,1280,15360,11.0,12.0
67,Bab El Shaaria,Line3,40,Dokki,Line2,2024,1,42,1662,20903,15.8,13.05
79,Attaba,Transfer_Line2/Line3,71,Sudan,Line3,2024,1,42,1206,16437,15.8,13.26
80,Nasser,Transfer_Line1/Line3,77,Sadat,Transfer_Line1/Line2,2024,1,42,981,13812,16.4,13.21
38,Cairo University,Line2,60,Al Ahram,Line3,2024,1,41,1262,16975,18.1,14.24
40,Dokki,Line2,33,El Mounib,Line2,2024,1,41,898,7184,7.0,8.0
40,Dokki,Line2,64,Abbassia,Line3,2024,1,41,1176,15299,14.5,12.49
70,Kit Kat,Line3,33,El Mounib,Line2,2024,1,41,1283,18067,16.0,13.34
21,El Demerdash,Line1,23,Kobri El Qobba,Line1,2024,1,40,1200,9600,2.0,8.0
62,Stadium,Line3,46,Khalafawy,Line2,2024,1,40,1147,15417,15.6,13.12
68,Maspero,Line3,1,Helwan,Line1,2024,1,40,918,10948,15.0,12.98
68,Maspero,Line3,39,El Bohoos,Line2,2024,1,40,1256,16362,15.9,13.15
72,Imbaba,Line3,64,Abbassia,Line3,2024,1,40,1114,8912,8.0,8.0
3,Helwan University,Line1,7,Tura El Asmant,Line1,2024,1,39,1085,8680,4.0,8.0
17,Sayeda Zeinab,Line1,45,St. Teresa,Line2,2024,1,39,950,12379,15.6,12.9
38,Cairo University,Line2,8,Kozzika,Line1,2024,1,39,877,10536,14.2,12.49
40,Dokki,Line2,75,Ring Road,Line3,2024,1,39,809,10672,16.2,13.67
50,Adly Mansour,Line3,4,Wadi Hof,Line1,2024,1,39,913,12110,14.4,12.38
50,Adly Mansour,Line3,65,Abdou Pasha,Line3,2024,1,39,1526,18312,15.0,12.0
55,El Nozha,Line3,59,Haroun,Line3,2024,1,39,1183,9464,4.0,8.0
55,El Nozha,Line3,76,Rod El Farag Corridor,Line3,2024,1,39,1101,16515,21.0,15.0
58,Heliopolis Square,Line3,55,El Nozha,Line3,2024,1,39,1065,8520,3.0,8.0
64,Abbassia,Line3,16,El Malek El Saleh,Line1,2024,1,39,1075,13537,14.5,12.77
72,Imbaba,Line3,20,Ghamra,Line1,2024,1,39,1124,16037,17.2,14.03
80,Nasser,Transfer_Line1/Line3,39,El Bohoos,Line2,2024,1,39,972,12428,14.8,13.03
3,Helwan University,Line1,34,Sakiat Mekky,Line2,2024,1,38,963,12395,15.6,13.08
3,Helwan University,Line1,55,El Nozha,Line3,2024,1,38,1098,13946,17.2,13.45
16,El Malek El Saleh,Line1,64,Abbassia,Line3,2024,1,38,1051,13848,16.1,13.0
21,El Demerdash,Line1,3,Helwan University,Line1,2024,1,38,895,13425,18.0,15.0
33,El Mounib,Line2,9,Tura El Balad,Line1,2024,1,38,1094,14227,16.7,13.61
38,Cairo University,Line2,9,Tura El Balad,Line1,2024,1,38,1167,15127,15.4,13.26
38,Cairo University,Line2,80,Nasser,Transfer_Line1/Line3,2024,1,38,991,13516,16.0,13.13
40,Dokki,Line2,5,Hadayek Helwan,Line1,2024,1,38,864,10676,16.2,13.26
49,Shubra El Kheima,Line2,54,Hesham Barakat,Line3,2024,1,38,1036,13087,15.3,12.71
50,Adly Mansour,Line3,57,Alf Maskan,Line3,2024,1,38,923,7384,7.0,8.0
58,Heliopolis Square,Line3,2,Ain Helwan,Line1,2024,1,38,1059,13138,14.8,12.58
64,Abbassia,Line3,10,Sakanat El Maadi,Line1,2024,1,38,930,11263,14.9,12.84
64,Abbassia,Line3,15,Mar Girgis,Line1,2024,1,38,960,11637,14.9,12.34
64,Abbassia,Line3,54,Hesham Barakat,Line3,2024,1,38,1132,13584,10.0,12.0
72,Imbaba,Line3,44,Road El Farag,Line2,2024,1,38,1064,14681,15.8,13.21
78,Al Shohadaa,Transfer_Line1/Line2,17,Sayeda Zeinab,Line1,2024,1,38,943,13162,16.3,13.42
80,Nasser,Transfer_Line1/Line3,54,Hesham Barakat,Line3,2024,1,38,812,11292,16.7,13.21
16,El Malek El Saleh,Line1,52,Omar Ibn El Khattab,Line3,2024,1,37,922,12820,17.6,13.76
17,Sayeda Zeinab,Line1,42,Mohamed Naguib,Line2,2024,1,37,944,11072,15.0,12.54
29,Ain Shams,Line1,64,Abbassia,Line3,2024,1,37,1037,12934,15.3,13.16
37,Faisal,Line2,63,Fair Zone,Line3,2024,1,37,1123,14288,15.0,12.81
40,Dokki,Line2,1,Helwan,Line1,2024,1,37,972,12480,15.3,12.89
40,Dokki,Line2,55,El Nozha,Line3,2024,1,37,957,12851,16.7,13.57
