station_name,line_id,month,total_passengers
Nasser,Transfer_Line1/Line3,1,58519
Dokki,Line2,1,56518
Imbaba,Line3,1,56486
El Mounib,Line2,1,56460
Stadium,Line3,1,56259
El Malek El Saleh,Line1,1,56003
Heliopolis Square,Line3,1,55916
Giza,Line2,1,55612
Sayeda Zeinab,Line1,1,55192
Bab El Shaaria,Line3,1,55113
Helwan University,Line1,1,55001
Kit Kat,Line3,1,54902
Abbassia,Line3,1,54812
El Demerdash,Line1,1,54547
Maspero,Line3,1,54360
Adly Mansour,Line3,1,54215
Faisal,Line2,1,53696
Attaba,Transfer_Line2/Line3,1,53632
Saad Zaghloul,Line1,1,53345
Cairo University,Line2,1,52723
Opera,Line2,1,52625
Shubra El Kheima,Line2,1,52552
Ain Shams,Line1,1,52005
El Nozha,Line3,1,51962
Road El Farag,Line2,1,51951
Sadat,Transfer_Line1/Line2,1,51294
El Maadi,Line1,1,50967
Al Shohadaa,Transfer_Line1/Line2,1,50843
Ghamra,Line1,1,50444
St. Teresa,Line2,1,5217
Hammamat El Qobba,Line1,1,5097
Rod El Farag Corridor,Line3,1,5016
Hesham Barakat,Line3,1,4961
Hadayek El Maadi,Line1,1,4928
Omar Ibn El Khattab,Line3,1,4920
Kozzika,Line1,1,4918
Helmeyet El Zaitoun,Line1,1,4873
Wadi Hof,Line1,1,4871
Koleyet El Banat,Line3,1,4853
Safaa Hegazy,Line3,1,4809
Saray El Qobba,Line1,1,4809
Fair Zone,Line3,1,4806
Manshiet El Sadr,Line1,1,4791
Haroun,Line3,1,4751
Masarra,Line2,1,4746
Qobaa,Line3,1,4671
Ain Helwan,Line1,1,4665
Ezbet El Nakhl,Line1,1,4664
Helwan,Line1,1,4638
Sakiat Mekky,Line2,1,4611
Tura El Balad,Line1,1,4579
Khalafawy,Line2,1,4577
Mar Girgis,Line1,1,4549
Al Ahram,Line3,1,4526
El Zahra,Line1,1,4495
New El Marg,Line1,1,4481
Tura El Asmant,Line1,1,4470
Mezallat,Line2,1,4298
Hadayek Helwan,Line1,1,4285
Kobri El Qobba,Line1,1,4272
El Qawmia,Line3,1,4222
El Matareyya,Line1,1,4205
El Haykestep,Line3,1,4199
El Bohoos,Line2,1,4171
Abdou Pasha,Line3,1,4160
El Marg,Line1,1,4155
Mohamed Naguib,Line2,1,4151
Ring Road,Line3,1,4142
Hadayek El Zaitoun,Line1,1,4032
Dar El Salam,Line1,1,3964
Nadi El Shams,Line3,1,3961
El Maasara,Line1,1,3940
Orabi,Line1,1,3935
El Bohy,Line3,1,3908
Alf Maskan,Line3,1,3870
Omm El Masryeen,Line2,1,3813
Sudan,Line3,1,3803
El Geish,Line3,1,3741
Koliet El Zeraa,Line2,1,3729
Sakanat El Maadi,Line1,1,3586
El Demerdash,Line1,2,60373
Cairo University,Line2,2,58885
Opera,Line2,2,58753
Maspero,Line3,2,58272
Stadium,Line3,2,58108
El Mounib,Line2,2,58071
Al Shohadaa,Transfer_Line1/Line2,2,57515
Bab El Shaaria,Line3,2,57392
Dokki,Line2,2,57319
Sadat,Transfer_Line1/Line2,2,57107
Kit Kat,Line3,2,57017
Ain Shams,Line1,2,56791
Shubra El Kheima,Line2,2,56737
El Nozha,Line3,2,56688
Abbassia,Line3,2,56415
Nasser,Transfer_Line1/Line3,2,56313
Giza,Line2,2,56023
Attaba,Transfer_Line2/Line3,2,55815
Saad Zaghloul,Line1,2,55803
Faisal,Line2,2,55790
Helwan University,Line1,2,55400
Adly Mansour,Line3,2,55343
El Maadi,Line1,2,55337
Imbaba,Line3,2,55303
Road El Farag,Line2,2,54921
Ghamra,Line1,2,54298
Heliopolis Square,Line3,2,54055
Sayeda Zeinab,Line1,2,53440
El Malek El Saleh,Line1,2,52711
Orabi,Line1,2,5796
Ring Road,Line3,2,5658
Abdou Pasha,Line3,2,5416
Hadayek Helwan,Line1,2,5411
Alf Maskan,Line3,2,5346
Masarra,Line2,2,5300
Khalafawy,Line2,2,5288
Sakiat Mekky,Line2,2,5182
Kobri El Qobba,Line1,2,5163
Kozzika,Line1,2,5156
Hesham Barakat,Line3,2,5147
El Maasara,Line1,2,5108
Nadi El Shams,Line3,2,5031
El Geish,Line3,2,5002
El Bohy,Line3,2,4996
Dar El Salam,Line1,2,4921
Koleyet El Banat,Line3,2,4872
Mar Girgis,Line1,2,4854
Omar Ibn El Khattab,Line3,2,4816
Tura El Asmant,Line1,2,4808
Omm El Masryeen,Line2,2,4803
Qobaa,Line3,2,4795
Wadi Hof,Line1,2,4778
El Qawmia,Line3,2,4764
Hadayek El Maadi,Line1,2,4750
Tura El Balad,Line1,2,4747
Koliet El Zeraa,Line2,2,4737
Mohamed Naguib,Line2,2,4737
El Haykestep,Line3,2,4727
Mezallat,Line2,2,4710
Helwan,Line1,2,4665
Al Ahram,Line3,2,4597
Manshiet El Sadr,Line1,2,4552
