line_id,trip_type,month,total_revenue_egp,total_trips,total_passengers
Line1,regular,1,6571997,20736,534706
Line1,regular,2,6801858,21466,555368
Line1,regular,3,7416290,23371,607299
Line1,regular,4,6642411,20940,539418
Line1,regular,5,7149910,22509,583254
Line1,regular,6,5584617,17678,455977
Line1,regular,7,6203598,19463,507507
Line1,regular,8,6338941,20270,517090
Line1,regular,9,6733508,20983,549089
Line1,regular,10,7748350,24320,633275
Line1,regular,11,7179418,22885,586896
Line1,regular,12,7654195,24258,626562
Line2,regular,1,5802782,18009,471450
Line2,regular,2,6137740,19152,499312
Line2,regular,3,6506338,20343,527332
Line2,regular,4,6039970,18410,487151
Line2,regular,5,6357530,19519,514987
Line2,regular,6,4935194,15537,400796
Line2,regular,7,5442835,16965,441059
Line2,regular,8,5652887,17860,459332
Line2,regular,9,5926630,18633,479252
Line2,regular,10,6860377,21359,556446
Line2,regular,11,6352382,19982,514630
Line2,regular,12,6799891,21290,551442
Line3,regular,1,6991789,21907,573344
Line3,regular,2,7240967,22900,593421
Line3,regular,3,7861903,24786,644007
Line3,regular,4,6930841,21987,569543
Line3,regular,5,7646474,23852,626181
Line3,regular,6,5956361,18765,486510
Line3,regular,7,6490292,20327,530966
Line3,regular,8,6846500,21518,559847
Line3,regular,9,7093118,22227,579551
Line3,regular,10,8098321,25643,664734
Line3,regular,11,7535949,24082,618114
Line3,regular,12,7951175,25275,652091
Transfer_Line1/Line2,regular,1,1341423,4053,102137
Transfer_Line1/Line2,regular,2,1520986,4352,114622
Transfer_Line1/Line2,regular,3,1540879,4617,117375
Transfer_Line1/Line2,regular,4,1410414,4112,107644
Transfer_Line1/Line2,regular,5,1587238,4558,120655
Transfer_Line1/Line2,regular,6,1191979,3496,90330
Transfer_Line1/Line2,regular,7,1318461,3899,100040
Transfer_Line1/Line2,regular,8,1400008,4082,106312
Transfer_Line1/Line2,regular,9,1475582,4291,111988
Transfer_Line1/Line2,regular,10,1606182,4805,122468
Transfer_Line1/Line2,regular,11,1519282,4488,115800
Transfer_Line1/Line2,regular,12,1642942,4803,124318
Transfer_Line1/Line3,regular,1,772423,2132,58519
Transfer_Line1/Line3,regular,2,741713,2169,56313
Transfer_Line1/Line3,regular,3,782818,2284,59171
Transfer_Line1/Line3,regular,4,684568,2037,51891
Transfer_Line1/Line3,regular,5,747263,2178,55987
Transfer_Line1/Line3,regular,6,607398,1798,45895
Transfer_Line1/Line3,regular,7,667155,1951,50049
Transfer_Line1/Line3,regular,8,707624,2040,53729
Transfer_Line1/Line3,regular,9,732250,2225,55547
Transfer_Line1/Line3,regular,10,802503,2379,61176
Transfer_Line1/Line3,regular,11,853063,2379,63484
Transfer_Line1/Line3,regular,12,813563,2323,61169
Transfer_Line2/Line3,regular,1,710062,2118,53632
Transfer_Line2/Line3,regular,2,734618,2187,55815
Transfer_Line2/Line3,regular,3,841559,2342,63091
Transfer_Line2/Line3,regular,4,705970,2075,53876
Transfer_Line2/Line3,regular,5,786563,2263,58979
Transfer_Line2/Line3,regular,6,634182,1755,47525
Transfer_Line2/Line3,regular,7,705582,2008,53122
Transfer_Line2/Line3,regular,8,703278,2007,52813
Transfer_Line2/Line3,regular,9,713200,2203,54248
Transfer_Line2/Line3,regular,10,869425,2457,65467
Transfer_Line2/Line3,regular,11,727969,2186,54562
Transfer_Line2/Line3,regular,12,810018,2314,61164
