weather_desc,avg_daily_revenue,avg_passenger_count,total_trips,avg_temp_celsius
Mild,347.38,28.09,28365,22.73
Perfect,345.09,27.95,23289,22.8
Pleasant,337.24,27.31,30617,22.73
Chilly,331.31,26.64,13433,11.65
Cool,327.44,26.51,34498,12.25
Very Hot,325.47,26.28,67563,39.39
Clear,320.09,25.87,236941,27.06
Extremely Hot,320.06,25.83,40491,39.41
Cold,317.09,25.6,20254,11.97
Dusty,316.38,25.58,112160,27.54
Heat Wave,316.14,25.55,26184,39.54
Partly Cloudy,314.79,25.45,141433,27.26
Sunny,314.07,25.36,87345,26.98
